メニュー名,"価格(税別,円)",主材料,主な調味料,調理方法,テイスティングコメント,ペアリングドリンク,原価(円),原価率(%),在庫,アレルゲン,備考
青唐辛子メンマ,550,"メンマ(60g), ハラペーニョ(10g), 青唐辛子(5g)","ナンプラー(5ml), 蜂蜜(3g), ニンニク(3g), 味の素(少々), 塩(1g), 胡椒(0.5g)",調味料を混ぜ、軽く茹でたメンマを漬けて冷ます。,エスニックな香りと爽やかな辛味でお酒が進む。,Hartenberg Merlot 2021,66,12,あり,"""""",おつまみ
汁なし担々麺,900,"中華麺(120g), 豚挽肉(80g), 長ネギ(20g), 万能ネギ(5g)","醤油(10ml), 米酢(10ml), 砂糖(5g), ねり胡麻(10g), 黒酢(5ml), ラー油(10ml), 花山椒(0.5g), 豆板醤(3g), 甜麺醤(5g), ごま油(5ml)",麺に自家製タレを絡め、肉味噌と薬味をのせる。,香りと辛味の中に旨み。甘辛く煮込んだ肉味噌が複雑に絡む。,山形正宗 純米吟醸 亀ノ尾,66.4,7.4,あり,"""小麦, 大豆, ごま""",〆
赤海老の紹興酒漬け,550,"赤海老, 長ネギ, 万能ネギ","紹興酒, 醤油, みりん, 調理酒, 八角, 山椒, レモン, 鷹の爪, 砂糖",調味料を合わせて煮切り、殻をむいた海老を漬け込む。,プリプリでねっとり、濃厚な生赤海老に浸かって酒が進む味。,光栄菊 希望 無濾過生原酒,192.5,35,あり,"えび,大豆,小麦",前菜
オリジナルソースのよだれ鶏,700,"国産若もも鶏, 生海苔, 万能ネギ","和風出汁, 醤油, みりん, 酒, 米酢, ラー油",鶏ももはブライン液に1日、低温で火入れ。生海苔を佃煮風に煮切りソースに。,しっとり柔らかい鶏と、生海苔の風味×和風の慣れ親しんだ味。,うごのつき 涼風 純米吟醸,245,35,あり,"大豆,小麦",一品料理
春夏冬のオリジナルスパイス唐揚げ,700,"鶏もも肉(100g), 小麦粉(10g), 片栗粉(10g), レモン(1/8個)","醤油(10ml), 調理酒(10ml), にんにく(5g), 生姜(5g), ミックススパイス(2g)",下味→2度揚げ→仕上げにオリジナルスパイス。,外はカリッと中はジューシー。スパイス香で食欲増進。,URLAR Sauvignon Blanc Moon Drops 2025,68,9.7,あり,"""小麦, 大豆""",一品料理
ブラックオリーブとドライトマトのマリネ,550,"ブラックオリーブ, ドライトマト","オリーブオイル, アンチョビ, ベーコン, トマトピューレ, にんにく, 蜂蜜, オレガノ, 鷹の爪",香りを立てたオイルに具材を加えソース状→オリーブと煮る→蜂蜜とオレガノ。冷やして完成。,プッタネスカ風のつまみ。自然な甘味と酸味でワインに合う。,高畠ワイナリー 醸造所限定 メルロー 2021,192.5,35,あり,,おつまみ
鯖のトマト煮込み,800,"鯖(80g), トマトパサータ(60g), しめじ(20g), 玉ねぎ(30g), オリーブオイル(10ml), ニンニク(5g)","白ワイン(15ml), 蜂蜜(3g), 醤油(5ml), ブイヨン(50ml), 胡椒(0.5g), オレガノ(0.5g)",調味料でトマトソースを作り、鯖ときのこを煮込む。,爽やかな酸味と甘みの濃いソースに鯖の旨味。ブイヤベース風。,高畠ワイナリー 醸造所限定 メルロー 2021,122.3,15.3,あり,"""小麦, 大豆""",裏メニュー
豚の生姜煮,700,"豚バラ肉, 玉ねぎ, にんじん, 生姜, 万能ネギ","醤油, 調理酒, 味醂, 砂糖, ほん出汁, 白だし",豚バラは灰汁取りで一度茹で、玉ねぎ半量は甘味出しで炒める。すりおろし野菜と調味料で煮込む。,野菜の甘味と生姜の辛味、豚の旨味が調和。,喜楽長 わかなえ,245,35,あり,"大豆,小麦",一品料理
長芋のニンニク醤油漬け,550,長芋(70g),"醤油(10ml), ニンニク(2g), 砂糖(2g), みりん(5ml)",調味液に皮を剥いた長芋を1〜2日漬ける。,シャキシャキ食感とニンニクの風味。辛味が味を引き締める。,Hartenberg Merlot 2021,33.9,6.2,あり,"""小麦, 大豆""",おつまみ
いぶりがっこチーズ,550,"いぶりがっこ(30g), クリームチーズ(25g)",黒胡椒(少々),いぶりがっこにクリームチーズを挟む。,食感とコク、塩味と甘みのバランスでお酒が進む。,Bread & Butter Cabernet Sauvignon 2023,64,11.6,あり,"""乳""",おつまみ
季節のお刺身盛り合わせ,800,"鯛, タコ, しめ鯖, つぶ貝, 大葉, わさび（季節で変更あり）","刺身醤油, 紹興酒, 麺つゆ",魚を捌き盛り付け。つぶ貝は紹興酒ベースの自家製ダレで漬け。,新鮮な旨みと下処理・下味で見栄えも楽しい。,PILPIL（ピルピル）,280,35,あり,"大豆,小麦",前菜
鱈白子の天ぷら,700,"鱈白子(80g), 天ぷら粉(20g), 米油(適量), レモン(1/8個)",塩(1g),下処理・下茹で後、衣をつけて揚げ、あごだし塩。,表面サクッと中はプリッとねっとり。癖がなく上品。,喜楽長 わかなえ,200.1,28.6,あり,"""小麦""",裏メニュー
砂肝のコンフィ,700,"砂肝(80g), オリーブオイル(10ml), ニンニク(3g)","塩(1g), パプリカパウダー(0.5g), タイム(0.2g)",塩1.8%/砂糖0.9%でマリネ→油と赤ワイン・香辛料で80〜90℃×2時間→提供前に表面を焼く。,しっとり柔らかくジューシー。香ばしさとスパイス香がお酒に合う。,高畠ワイナリー 醸造所限定 メルロー 2021,68.9,9.8,あり,"""""",裏メニュー
ごぼうの唐揚げ,700,"ごぼう(80g), 片栗粉(10g), 米油(適量)","醤油(5ml), 酒(5ml), みりん(5ml), にんにく(少々), 塩(少々)",下味をつけたごぼうに片栗粉をまぶし、180℃の油でカラッと揚げる。仕上げに塩をふる。,外はカリッと香ばしく、中はホクッとした食感。ごぼうの香りと旨味が広がる一品。,瀧自慢 神の穂80,210.5,30.1,あり,"小麦,大豆",前菜
