商品キーワード,容量,単価タイプ,単価値,備考
国産若鶏モモ肉,,1g,1.19,
若鶏モモ肉,,1g,0.68,
国産若鶏ムネ肉,,1g,0.79,
豚バラブロック,,1g,1.29,
ブラックオリーブ,,1g,0.71,
四川豆板醤,,1g,2.21,
ラー油,,1g,1.46,
芝麻醬,,1g,2.74,
ボイルつぶ貝,,1g,3.48,
トマトパサータ,,1g,0.359,
ハラペーニョ,,1g,1.17,
国産若鶏砂肝,,1g,0.795,
本醸造しょうゆ,,1ml,0.198,
うすくち醤油,,1ml,0.228,
本みりん,,1ml,0.399,
料理酒清酒味,,1ml,0.248,
リンゴ酢,,1ml,0.304,
和風つゆの素,,1ml,0.328,
白だし,,1ml,0.58,
クッキングソルト,,1g,0.2975,
三温糖,,1g,0.37,
エキストラバージンオリーブオイル,,1g,1.71,
米油,,1g,0.73,
キャノーラ油,,1g,0.36,
豚バラスライス,,1g,1.49,
片栗粉,,1g,0.661,
薄力粉,,1g,0.436,
胡麻油,,1g,1.686,
アンチョビ,,1g,3.052,
トウチ辣油,,1g,2.071,
テンメンジャン,,1g,2.173,
あん肝いか,,1g,3.49,
そでいか,,1g,3.39,
サーモントラウト,,1g,3.49,
いきいき食卓たまご,600g,1g,0.31,10個
しめさば,400g,1g,1.25,2枚
ほうれん草,500g,1g,0.54,
陳健一キムチ(激辛),220g,1g,1.49,
ペチュキムチ,250g,1g,1.52,
青のり,150g,1g,1.33,
きゅうり,300g,1g,0.66,3本
純氷,4000g,1g,0.15,
きざんだピクルス,160g,1g,1.86,
ケーパー,100g,1g,3.68,
冷凍塩ゆで枝豆,500g,1g,0.54,
ファミリーポテトサラダ,190g,1g,1.21,
セミドライチェリートマト(ハーフカット),500g,1g,1.96,
明太子(切子),,1g,2.48,
