ジャンル,商品名,ペアリング料理,在庫,香りノート,味わい,ボディ,推奨提供温度,推奨グラス,一言コピー
日本酒,滝自慢,煮込んだ鶏肉,なし,柑橘、白い花、米のふくらみ,すっきり辛口、きれいな酸、後味は端正,ライト〜ミディアム,8〜12°C,香りが立つ小ぶりの猪口／白ワイングラス,清潔感のあるキレで旨味を引き上げる
白ワイン,PILPIL（ピルピル）,お刺身盛り合わせ,あり,レモンピール、ハーブ、わずかな塩味のニュアンス,辛口で直線的、ミネラル感が長く続く,ライト〜ミディアム,8〜10°C,白ワイングラス（チューリップ型）,刺身の繊細さに寄り添うクリーンな酸
日本酒,うごのつき 涼風 純米吟醸,冷しゃぶ;鰹のたたき,なし,青りんご、メロン、ラムネの爽やかさ,みずみずしく軽快、余韻は爽涼,ライト,6〜8°C,小ぶりワイングラス／平杯,夏風のように軽やかな涼感
日本酒,喜楽長 わかなえ,淡白な白身魚の刺身;春野菜の天ぷら,あり,白い花、青りんご、米由来のやさしい甘香,なめらかで品良く、後半はシャープに収束,ライト〜ミディアム,8〜10°C,香り系お猪口／白ワイングラス,繊細な旨味と春野菜にベストマッチ
日本酒,純米吟醸 KENICHIRO 雄町 火入れ,鴨ロースの燻製,あり,熟したメロン、米麹、ナッツのニュアンス,ふくよかで厚み、酸が骨格を作る,ミディアム〜フル,12〜15°C,中庸のワイングラス（ブルゴーニュ寄り）,雄町らしいボリュームで燻香に負けない
日本酒,山形正宗 純米吟醸 亀ノ尾,鰹のたたき;出汁巻き玉子,あり,柑橘ピール、白胡椒、ミネラル,ドライな口当たり、きめ細かい旨味,ミディアム,10〜12°C,白ワイングラス,シャープな切れ味と米の芯
日本酒,明鏡止水 生もと純米大吟醸 山恵錦,鴨ロースの燻製,あり,白桃、洋梨、ほのかな乳酸由来の奥行き,しっとり上品、余韻は絹のよう,ミディアム,10〜12°C,大吟醸グラス／香り系お猪口,静謐で瑞々しい気品
日本酒,光栄菊 希望 無濾過生原酒,鰹のたたき,あり,トロピカルフルーツ、白葡萄、微発泡感,ジューシーで高めの酸、フレッシュで躍動的,ミディアム,6〜8°C,小ぶり白ワイングラス,果実味爆発のモダン純米
白ワイン,Borgoletto Soave DOC 2024,カルパッチョ;白身魚のグリル,なし,洋梨、白い花、アーモンドの皮,辛口、しなやかな質感、ほのかな塩味,ライト〜ミディアム,8〜10°C,白ワイングラス,ガルガネーガの端正なミネラル
白ワイン,Munir Catarratto Sicilia DOC 2023,アサリの白ワイン蒸し;イカのマリネ,なし,レモンゼスト、地中海ハーブ、海風のニュアンス,クリスプで塩味が心地よい、余韻はドライ,ライト〜ミディアム,8〜10°C,白ワイングラス,シチリアの風を感じるクリーンな辛口
白ワイン,URLAR Sauvignon Blanc Moon Drops 2025,牡蠣のレモン添え;白身魚のカルパッチョ;柚子香る塩唐揚げ,あり,グーズベリー、パッションフルーツ、レモングラス,高い酸でシャープ、瑞々しい果実が弾ける,ライト,8〜10°C,白ワイングラス,NZ的フレッシュさで牡蠣無双
